,交易期間,股票名稱,使用規則,總損益,報酬率
0,2022-03-04 00:00:00-2022-03-05 00:00:00,台積電,我的策略一,-23940,-0.5898004434589801
1,2022-03-04 00:00:00-2022-03-05 00:00:00,台積電,我的策略二,1830,0.12055335968379446
